Code,ID,Name,FV,ISIN,Industry,Marketcap
540332,TANVI,TANVI FOODS (INDIA) LTD,10,INE978V01015,Packaged Foods,233.03
505685,TAPARIA,TAPARIA TOOLS LTD,10,INE614R01014,Iron & Steel Products,5.62
519285,TARAI,TARAI FOODS LTD,10,INE906C01016,Other Agricultural Products,15.96
533203,TARAPUR,TARAPUR TRANSFORMERS LTD,10,INE747K01017,Heavy Electrical Equipment,17.8
543249,TARC,TARC LTD,2,INE0EK901012,Residential- Commercial Projects,4650.72
538496,TARINI,TARINI INTERNATIONAL LTD,10,INE849M01017,Consulting Services,19.37
532869,TARMAT,TARMAT LTD,10,INE924H01018,Civil Construction,226.12
543399,TARSONS,TARSONS PRODUCTS LTD,2,INE144Z01023,Medical Equipment & Supplies,2392.95
512271,TASHIND,TASHI INDIA LTD,10,INE552H01017,Diversified Commercial Services,8.65
519091,TASTYBITE,TASTY BITE EATABLES LTD,10,INE488B01017,Packaged Foods,3049.58
540955,TDSL,TASTY DAIRY SPECIALITIES LTD,10,INE773Y01014,Dairy Products,22.37
500770,TATACHEM,TATA CHEMICALS LTD,10,INE092A01019,Commodity Chemicals,29244.75
500483,TATACOMM,TATA COMMUNICATIONS LTD,10,INE151A01013,Telecom - Cellular & Fixed line services,55480.95
532540,TCS,TATA CONSULTANCY SERVICES LTD,1,INE467B01029,Computers - Software & Consulting,1447343.55
500800,TATACONSUM,TATA CONSUMER PRODUCTS LTD,1,INE192A01025,Tea & Coffee,109252.04
500408,TATAELXSI,TATA ELXSI LTD,10,INE670A01012,Computers - Software & Consulting,48280.74
501301,TATAINVEST,TATA INVESTMENT CORPORATION LTD,10,INE672A01018,Investment Company,35170.81
500570,TATAMOTORS,TATA MOTORS LTD,2,INE155A01022,Passenger Cars & Utility Vehicles,338472.96
570001,TATAMTRDVR,TATA MOTORS LTD - DVR,2,IN9155A01020,Passenger Cars & Utility Vehicles,34107.83
500400,TATAPOWER,TATA POWER CO.LTD,1,INE245A01021,Integrated Power Utilities,139652.31
500470,TATASTEEL,TATA STEEL LTD,1,INE081A01020,Iron & Steel,204104.29
544028,TATATECH,TATA TECHNOLOGIES LTD,2,INE142M01025,IT Enabled Services,44230.04
